episode,agent0_time,agent0_actions,agent0_reward,agent1_time,agent1_actions,agent1_reward,bounces_1,bounces_2
69,1.6192495822906494,29,1.0,1.6192495822906494,29,-1.0,1.0,0.0
70,0.5954053401947021,12,-1.0,0.5954053401947021,12,1.0,0.0,0.0
71,2.653439521789551,53,1.0,2.653439521789551,53,-1.0,1.0,1.0
72,0.5960683822631836,12,-1.0,0.5960683822631836,12,1.0,0.0,0.0
73,0.595268726348877,12,-1.0,0.595268726348877,12,1.0,0.0,0.0
74,2.6529576778411865,53,1.0,2.6529576778411865,53,-1.0,1.0,1.0
75,2.6369986534118652,53,1.0,2.6369986534118652,53,-1.0,1.0,1.0
76,2.6564254760742188,53,1.0,2.6564254760742188,53,-1.0,1.0,1.0
77,2.6417183876037598,53,1.0,2.6417183876037598,53,-1.0,1.0,1.0
78,2.6572787761688232,53,1.0,2.6572787761688232,53,-1.0,1.0,1.0
79,2.641003370285034,53,-1.0,2.641003370285034,53,1.0,1.0,1.0
80,2.6570253372192383,53,1.0,2.6570253372192383,53,-1.0,1.0,1.0
81,2.6397857666015625,53,1.0,2.6397857666015625,53,-1.0,1.0,1.0
82,2.6610870361328125,53,1.0,2.6610870361328125,53,-1.0,1.0,1.0
83,2.656677007675171,53,1.0,2.656677007675171,53,-1.0,1.0,1.0
84,1.6579058170318604,33,1.0,1.6579058170318604,33,-1.0,1.0,0.0
85,1.6360931396484375,33,1.0,1.6360931396484375,33,-1.0,1.0,0.0
86,2.6503829956054688,53,1.0,2.6503829956054688,53,-1.0,1.0,1.0
87,2.6555378437042236,53,1.0,2.6555378437042236,53,-1.0,1.0,1.0
88,0.5959787368774414,12,-1.0,0.5959787368774414,12,1.0,0.0,0.0
89,2.6466124057769775,53,1.0,2.6466124057769775,53,-1.0,1.0,1.0
90,2.6588406562805176,53,-1.0,2.6588406562805176,53,1.0,1.0,1.0
91,2.63961124420166,53,1.0,2.63961124420166,53,-1.0,1.0,1.0
92,2.653231382369995,53,1.0,2.653231382369995,53,-1.0,1.0,1.0
93,0.596297025680542,12,-1.0,0.596297025680542,12,1.0,0.0,0.0
94,0.5979328155517578,12,-1.0,0.5979328155517578,12,1.0,0.0,0.0
95,2.6586599349975586,53,1.0,2.6586599349975586,53,-1.0,1.0,1.0
96,0.5960795879364014,12,-1.0,0.5960795879364014,12,1.0,0.0,0.0
97,2.638751745223999,53,1.0,2.6386637687683105,53,-1.0,1.0,1.0
98,2.6579954624176025,53,1.0,2.6579954624176025,53,-1.0,1.0,1.0
99,1.6388258934020996,33,1.0,1.6388258934020996,33,-1.0,1.0,0.0
