episode,agent0_time,agent0_actions,agent0_reward,agent1_time,agent1_actions,agent1_reward,bounces_1,bounces_2
134,1.1043105125427246,33,1.0,1.1043105125427246,33,-1.0,1.0,0.0
135,1.7676122188568115,53,1.0,1.7676122188568115,53,-1.0,1.0,1.0
136,1.1056652069091797,33,1.0,1.1056652069091797,33,-1.0,1.0,0.0
137,1.0860559940338135,33,1.0,1.0860559940338135,33,-1.0,1.0,0.0
138,1.7703182697296143,53,-1.0,1.7703182697296143,53,1.0,1.0,1.0
139,1.7710545063018799,53,1.0,1.7710545063018799,53,-1.0,1.0,1.0
140,1.7685632705688477,53,1.0,1.7685632705688477,53,-1.0,1.0,1.0
141,1.1050457954406738,33,1.0,1.1050457954406738,33,-1.0,1.0,0.0
142,1.752056360244751,53,1.0,1.752056360244751,53,-1.0,1.0,1.0
143,1.7698273658752441,53,1.0,1.7708206176757812,53,-1.0,1.0,1.0
144,1.7675905227661133,53,1.0,1.7675905227661133,53,-1.0,1.0,1.0
145,1.105731725692749,33,1.0,1.105731725692749,33,-1.0,1.0,0.0
146,1.7665009498596191,53,1.0,1.7665009498596191,53,-1.0,1.0,1.0
147,1.7662856578826904,53,1.0,1.7662856578826904,53,-1.0,1.0,1.0
148,1.7679715156555176,53,1.0,1.7679715156555176,53,-1.0,1.0,1.0
149,1.7004711627960205,51,-1.0,1.7004711627960205,51,1.0,1.0,1.0
150,1.1063494682312012,33,1.0,1.1063494682312012,33,-1.0,1.0,0.0
151,1.108095645904541,33,1.0,1.108095645904541,33,-1.0,1.0,0.0
152,1.7681677341461182,53,1.0,1.7691478729248047,53,-1.0,1.0,1.0
153,1.1100513935089111,33,1.0,1.1100513935089111,33,-1.0,1.0,0.0
154,1.7699894905090332,53,1.0,1.7699894905090332,53,-1.0,1.0,1.0
155,1.7669868469238281,53,1.0,1.7669868469238281,53,-1.0,1.0,1.0
156,1.766927719116211,53,1.0,1.766927719116211,53,-1.0,1.0,1.0
157,1.7690620422363281,53,1.0,1.7690620422363281,53,-1.0,1.0,1.0
158,1.7671682834625244,53,1.0,1.7671682834625244,53,-1.0,1.0,1.0
159,1.7693707942962646,53,1.0,1.7693707942962646,53,-1.0,1.0,1.0
160,1.104588508605957,33,1.0,1.104588508605957,33,-1.0,1.0,0.0
161,0.39256739616394043,12,-1.0,0.39256739616394043,12,1.0,0.0,0.0
162,1.7636682987213135,53,1.0,1.7636682987213135,53,-1.0,1.0,1.0
163,1.1038401126861572,33,-1.0,1.1038401126861572,33,1.0,0.0,1.0
164,1.7683961391448975,53,-1.0,1.7683961391448975,53,1.0,1.0,1.0
165,1.7673380374908447,53,1.0,1.7673380374908447,53,-1.0,1.0,1.0
166,0.39264416694641113,12,-1.0,0.39264416694641113,12,1.0,0.0,0.0
